Epoch	Loss	Accuracy
1	4.7821	0.0477     
2	4.3900	0.0851     
3	4.1692	0.1140     
4	3.9576	0.1427     
5	3.7272	0.1773     
6	3.4547	0.2209     
7	3.1226	0.2791     
8	2.7183	0.3557     
9	2.2135	0.4578     
10	1.5969	0.5971     
11	0.9288	0.7384     
12	0.6161	0.8190     
13	0.4207	0.8743     
14	0.3206	0.9019     
15	0.2306	0.9283     
16	0.1780	0.9448     
17	0.1387	0.9414     
18	0.1064	0.9269     
19	0.0828	0.8726     
20	0.0667	0.7975     
21	0.0529	0.7154     
22	0.0445	0.5572     
